job_item	job_links	job_info	job_salary	job_origin
60	大客户销售经理	https://www.hellobi.com/job/99	上海 北京 深圳|1-3年经验|大专	10-20K	达观数据
61	AI人工智能负责人	https://www.hellobi.com/job/130	上海 南京|5-10年经验|本科	30-60K	万得资讯
62	高级Java工程师	https://www.hellobi.com/job/116	北京|5-10年经验|本科	20-30K	铂金智慧
63	BI工程师	https://www.hellobi.com/job/131	北京|3-5年经验|本科	15-30K	铂金智慧
64	高级数据集成工程师	https://www.hellobi.com/job/128	苏州|5-10年经验|本科	15-25K	西格数据
65	高级数据分析师	https://www.hellobi.com/job/129	苏州|5-10年经验|本科	15-25K	西格数据
66	高级产品经理（数据方向）	https://www.hellobi.com/job/127	北京|5-10年经验|本科	20-40K	铂金智慧
67	大数据研发工程师	https://www.hellobi.com/job/126	北京|3-5年经验|本科	15-25K	登云健康
68	JAVA爬虫架构师	https://www.hellobi.com/job/125	上海|3-5年经验|本科	20-40K	介末数据
69	报表开发	https://www.hellobi.com/job/123	北京|1-3年经验|本科	15-25K	随行付
70	Java开发工程师（大数据方向）	https://www.hellobi.com/job/124	北京|3-5年经验|本科	15-30K	随行付
71	大数据挖掘工程师	https://www.hellobi.com/job/122	北京|3-5年经验|本科	15-30K	随行付
72	数仓模型设计师	https://www.hellobi.com/job/121	杭州|3-5年经验|本科	20-40K	恩牛网络
73	高级Spark工程师（大数据工程师）	https://www.hellobi.com/job/120	北京|5-10年经验|本科	20-30K	铂金智慧
74	资深BI分析师	https://www.hellobi.com/job/119	广州|3-5年经验|本科	15-25K	棒谷网络
75	数据仓库工程师（3人）	https://www.hellobi.com/job/118	北京|3-5年经验|本科	15-30K	易通贷
76	大数据开发工程师（3人）	https://www.hellobi.com/job/117	北京|3-5年经验|本科	20-35K	易通贷
77	推荐算法研发工程师	https://www.hellobi.com/job/58	上海|1-3年经验|本科	10-20K	达观数据
78	资深售前顾问	https://www.hellobi.com/job/115	北京|5-10年经验|本科	20-30K	德塔精要
79	Pre Sales Consultant	https://www.hellobi.com/job/114	北京|5-10年经验|本科	50-70K	Qlik
80	数据分析师—数据挖掘及专项研究 方向 	https://www.hellobi.com/job/113	北京|3-5年经验|本科	15-30K	京东
81	大数据应用和分析咨询顾问	https://www.hellobi.com/job/112	上海 广州|3-5年经验|本科	10-30K	安永
82	大数据	https://www.hellobi.com/job/111	北京|1-3年经验|本科	10-20K	铂金智慧
83	高级产品经理	https://www.hellobi.com/job/110	北京|5-10年经验|本科	20-30K	铂金智慧
84	高级前端开发	https://www.hellobi.com/job/109	北京|3-5年经验|本科	30-50K	铂金智慧
85	技术支持工程师	https://www.hellobi.com/job/108	珠海|1-3年经验|大专	8-12K	奥威软件
86	实施工程师	https://www.hellobi.com/job/107	珠海|1-3年经验|大专	8-12K	奥威软件
87	市场运营经理 / 市场推广经理	https://www.hellobi.com/job/104	杭州|3-5年经验|本科	12-24K	观远数据
88	解决方案顾问(售前顾问 / 解决方案专家）	https://www.hellobi.com/job/106	杭州|3-5年经验|本科	12-24K	观远数据
89	销售经理（大客户经理 / 销售顾问 / 销售总监）	https://www.hellobi.com/job/105	上海|3-5年经验|本科	15-30K	观远数据
90	MPP数据库/数据仓库产品支持工程师	https://www.hellobi.com/job/103	郑州|3-5年经验|大专	10-15K	昆仑联通
91	新媒体运营	https://www.hellobi.com/job/102	北京|1-3年经验|本科	10-15K	铂金智慧
92	数据分析师	https://www.hellobi.com/job/101	上海|3-5年经验|本科	10-16K	数宣数据
93	售前工程师	https://www.hellobi.com/job/100	上海 北京 深圳|1-3年经验|本科	10-20K	达观数据
94	 UI设计工程师	https://www.hellobi.com/job/98	北京|1-3年经验|本科	8-15K	永洪科技
95	JAVA研发工程师	https://www.hellobi.com/job/97	成都、北京|1-3年经验|本科	10-20K	永洪科技
96	高级项目经理	https://www.hellobi.com/job/96	北京、上海、深圳|5-10年经验|本科	15-30K	永洪科技
97	实施工程师	https://www.hellobi.com/job/95	北京、上海、深圳|3-5年经验|本科	10-15K	永洪科技
98	售前工程师	https://www.hellobi.com/job/94	北京、上海、成都|3-5年经验|大专	10-18K	永洪科技
99	 自然语言处理算法工程师	https://www.hellobi.com/job/93	上海|3-5年经验|本科	20-40K	星环
100	前端架构师	https://www.hellobi.com/job/92	北京|5-10年经验|本科	30-60K	铂金智慧
101	数据挖掘专家 or 算法专家（机器学习）	https://www.hellobi.com/job/91	杭州|3-5年经验|本科	15-40K	赞分期
102	系统开发	https://www.hellobi.com/job/90	山东省滨州市|1-3年经验|本科	10-15K	京博
103	开发主管	https://www.hellobi.com/job/89	山东省滨州市|5-10年经验|本科	10-20K	京博
104	大数据工程师	https://www.hellobi.com/job/88	山东省滨州市|1-3年经验|本科	10-15K	京博
105	OBIEE开发工程师（2人）	https://www.hellobi.com/job/87	山东省滨州市|1-3年经验|本科	10-15K	京博
106	ETL开发工程师（4人）	https://www.hellobi.com/job/86	山东省滨州市|1-3年经验|本科	10-15K	京博
107	自然语言处理	https://www.hellobi.com/job/85	北京|3-5年经验|硕士	20-35K	明和高科
108	数据挖掘工程师	https://www.hellobi.com/job/84	北京|1-3年经验|本科	10-20K	明和高科
109	算法工程师	https://www.hellobi.com/job/83	北京|3-5年经验|本科	15-30K	明和高科
110	ETL开发工程师（2人）	https://www.hellobi.com/job/82	北京|1-3年经验|本科	10-20K	明和高科
111	大数据开发工程师（4-5人）	https://www.hellobi.com/job/81	北京|3-5年经验|本科	10-25K	明和高科
112	大数据架构师	https://www.hellobi.com/job/80	北京|5-10年经验|本科	20-40K	明和高科
113	大数据系统架构师 （技术合伙人）	https://www.hellobi.com/job/79	上海|5-10年经验|本科	30-50K	千匠网络
